Elgeseter PM10µg/m³,Elgeseter PM2.5µg/m³,Elgeseter NO2µg/m³,Hour,Trafikkmengde,Year,Month,Day
1.5,2.2,4.8,21,679,2023,2,12
0.0,1.7,22.7,15,1283,2023,3,5
2.8,2.6,4.8,6,131,2022,12,25
41.4,11.8,24.950000000000003,10,647,2022,10,16
9.3,2.0,6.3,21,805,2022,11,22
12.7,12.6,64.5,9,1380,2022,12,9
10.2,4.8,3.6,1,80,2023,9,7
17.3,4.0,16.6,5,151,2023,9,27
22.0,6.3,11.8,12,1822,2023,6,21
7.8,2.9,30.7,11,1607,2022,10,28
7.540000000000001,4.999999999999999,13.3,17,1266,2023,5,13
1.2,2.5,17.0,20,946,2023,1,25
6.719999999999999,4.26,7.6,0,224,2023,5,19
0.0,0.0,2.4,6,182,2023,1,28
1.9,3.9,6.4,4,92,2023,6,15
9.290000000000004,4.950000000000001,8.5,13,1614,2023,5,13
13.2,8.0,23.0,22,567,2023,4,11
1.35,1.49,1.4,0,173,2023,8,10
2.6,3.3,5.4,4,168,2023,6,11
2.42,2.54,3.5,4,72,2023,7,20
4.9,1.8,20.4,19,1073,2022,10,18
0.0,0.4,10.9,4,79,2023,1,9
30.1,12.8,36.8,7,1773,2023,6,15
14.4,7.9,7.7,0,110,2023,9,25
10.13,4.23,5.1,2,101,2023,6,26
10.7,4.2,12.3,0,128,2023,4,12
5.9,6.3,15.0,15,2207,2023,2,21
9.9,7.3,36.6,21,738,2022,10,28
3.9,1.6,8.0,21,948,2023,4,12
2.4,2.9,5.7,23,551,2023,3,10
17.2,19.1,37.3,0,163,2023,3,9
1.66,1.72,1.0,0,207,2023,6,2
5.7,3.1,12.97,2,34,2022,10,4
11.5,4.17,12.5,21,946,2023,4,28
3.61,3.6,3.2,4,86,2023,7,4
10.0,8.1,24.83,20,814,2022,10,7
8.57,2.99,5.9,17,1597,2023,6,1
39.5,12.0,24.1,12,1599,2023,9,26
4.69,3.2700000000000005,3.4,23,244,2023,5,1
13.8,4.4,34.6,16,1252,2023,4,3
9.94,4.359999999999999,9.8,9,1283,2023,7,6
20.67,6.9300000000000015,15.7,20,815,2023,7,26
13.7,5.8,14.93,22,506,2022,10,16
10.9,10.1,33.1,15,1685,2022,12,23
43.9,39.2,39.9,20,856,2022,12,2
